Plasmid	End1	End2	Chromosome	Start	End	Length
VTP35483	b1	g1	chromosome_12	7374991	7388993	14003
VTP35484	b1	g1	chromosome_9	4309614	4345904	36291
VTP35485	g1	b1	chromosome_3	7241204	7281341	40138
VTP35486	g1	b1	chromosome_11	1759110	1793832	34723
VTP35488	g1	b1	chromosome_9	2776641	2818423	41783
VTP35489	b1	g1	chromosome_6	2512705	2545863	33159
VTP35490	b1	g1	chromosome_6	6385887	6418397	32511
VTP35491	b1	g1	chromosome_10	806380	841134	34755
VTP35493	b1	g1	chromosome_17	967702	1010576	42875
VTP35494	b1	g1	chromosome_7	1248226	1282739	34514
VTP35495	g1	b1	chromosome_16	4992573	5025412	32840
VTP35497	g1	b1	chromosome_1	4156675	4187159	30485
VTP35498	g1	b1	chromosome_14	4014248	4049836	35589
VTP35499	g1	b1	chromosome_3	2193963	2231176	37214
VTP35500	b1	g1	chromosome_2	1212181	1243988	31808
VTP35501	g1	b1	chromosome_2	8928562	8960894	32333
VTP35502	b1	g1	chromosome_2	9141153	9183645	42493
VTP35503	g1	b1	chromosome_13	1662715	1702121	39407
VTP35504	b1	g1	chromosome_17	1160922	1196084	35163
VTP35505	b1	g1	chromosome_17	6249419	6292330	42912
VTP35506	g1	b1	chromosome_6	7132374	7152936	20563
VTP35508	g1	b1	chromosome_6	5262141	5292104	29964
VTP35510	b1	g1	chromosome_5	2777450	2806411	28962
VTP35511	b1	g1	chromosome_5	1639871	1673579	33709
VTP35512	b1	g1	scaffold_19	170904	214204	43301
VTP35513	g1	b1	chromosome_3	8813124	8849455	36332
VTP35514	g1	b1	chromosome_6	6926249	6960817	34569
VTP35515	b1	g1	chromosome_14	3429300	3452612	23313
VTP35516	g1	b1	chromosome_10	442886	474236	31351
VTP35517	g1	b1	chromosome_14	4079531	4117591	38061
VTP35518	b1	g1	chromosome_6	440039	474222	34184
VTP35519	g1	b1	chromosome_12	1772000	1808285	36286
VTP35521	g1	b1	chromosome_13	864708	898172	33465
VTP35524	g1	b1	chromosome_5	1047825	1084638	36814
VTP35528	g1	b1	chromosome_17	1681012	1719473	38462
VTP35530	g1	b1	chromosome_3	4893647	4925759	32113
VTP35532	g1	b1	chromosome_6	1801834	1843265	41432
VTP35533	b1	g1	chromosome_3	8931198	8964690	33493
VTP35534	g1	b1	chromosome_13	4146285	4181252	34968
VTP35539	g1	b1	chromosome_6	5725551	5750119	24569
VTP35540	b1	g1	chromosome_1	7924085	7957911	33827
VTP35542	g1	b1	chromosome_12	4243012	4277338	34327
VTP35543	b1	g1	chromosome_12	9069779	9109251	39473
VTP35544	b1	g1	chromosome_12	7564695	7598712	34018
VTP35546	b1	g1	chromosome_4	2604242	2638214	33973
VTP35547	g1	b1	chromosome_10	323913	360478	36566
VTP35548	b1	g1	chromosome_3	8399155	8399995	841
VTP35550	g1	b1	chromosome_16	5633820	5675202	41383
VTP35551	g1	b1	chromosome_12	6350392	6384782	34391
VTP35552	b1	g1	chromosome_2	6328489	6368128	39640
VTP35555	b1	g1	chromosome_8	1162782	1198369	35588
VTP35556	b1	g1	chromosome_4	816312	850632	34321
VTP35558	g1	b1	chromosome_8	2628908	2658151	29244
VTP35559	b1	g1	scaffold_29	46361	52813	6453
VTP35560	g1	b1	chromosome_10	4850196	4888013	37818
VTP35562	b1	g1	chromosome_12	4809103	4843762	34660
VTP35565	b1	g1	chromosome_16	1353674	1385234	31561
VTP35566	g1	b1	chromosome_11	3457012	3488844	31833
VTP35567	g1	b1	chromosome_6	2224537	2226208	1672
VTP35568	b1	g1	chromosome_12	6099802	6138531	38730
VTP35570	b1	g1	chromosome_1	5141197	5176686	35490
VTP35571	g1	b1	chromosome_13	5054955	5087242	32288
VTP35572	b1	g1	chromosome_3	5340352	5385648	45297
VTP35573	b1	g1	chromosome_10	3390287	3433460	43174
VTP35574	b1	g1	chromosome_11	932914	964350	31437
VTP35576	b1	g1	chromosome_1	4009238	4040322	31085
VTP35577	g1	b1	chromosome_16	5306063	5346188	40126
VTP35580	g1	b1	chromosome_16	502191	541837	39647
VTP35583	b1	g1	chromosome_7	4876520	4908882	32363
VTP35584	b1	g1	chromosome_16	6535237	6570948	35712
VTP35587	g1	b1	chromosome_16	6055522	6097742	42221
VTP35589	b1	g1	chromosome_6	2197359	2223992	26634
VTP35591	g1	b1	chromosome_16	1036368	3470204	2433837
VTP35592	g1	b1	chromosome_7	5591418	5634381	42964
VTP35593	g1	b1	chromosome_9	7572747	7604762	32016
VTP35594	g1	b1	chromosome_1	2246721	2283600	36880
VTP35596	g1	b1	chromosome_16	374568	410013	35446
VTP35597	g1	b1	chromosome_3	2318060	2352763	34704
VTP35599	b1	g1	chromosome_11	2273470	2372505	99036
VTP35602	b1	g1	chromosome_2	2281820	2319482	37663
VTP35603	b1	g1	chromosome_14	1792774	1828977	36204
VTP35604	g1	b1	chromosome_4	2129093	2169051	39959
VTP35606	b1	g1	chromosome_9	4427656	4461713	34058
VTP35607	g1	b1	chromosome_16	1701152	1741850	40699
VTP35612	g1	b1	chromosome_17	3218222	3252184	33963
VTP35613	g1	b1	chromosome_12	8924356	8993490	69135
VTP35614	g1	b1	chromosome_1	6133570	6170187	36618
VTP35615	g1	b1	chromosome_10	519094	558009	38916
VTP35619	b1	g1	scaffold_21	163205	188701	25497
VTP35620	b1	g1	chromosome_5	2860313	2893786	33474
VTP35621	b1	g1	chromosome_7	3337814	3375020	37207
VTP35622	g1	b1	chromosome_8	1210723	1242953	32231
VTP35626	g1	b1	chromosome_13	4971948	5002504	30557
VTP35627	g1	b1	chromosome_8	3196989	3236044	39056
VTP35629	b1	g1	chromosome_16	5891624	5932204	40581
VTP35630	g1	b1	chromosome_10	2462313	2495323	33011
VTP35631	b1	g1	chromosome_2	4759010	4796722	37713
VTP35632	b1	g1	chromosome_12	7161143	7193951	32809
VTP35635	g1	b1	chromosome_3	5097533	5132735	35203
VTP35636	g1	b1	chromosome_2	729316	765338	36023
VTP35637	g1	b1	chromosome_17	6085208	6117889	32682
VTP35638	g1	b1	chromosome_7	3272110	3302951	30842
VTP35640	g1	b1	chromosome_16	1420297	1452425	32129
VTP35641	b1	g1	chromosome_6	6981294	7019182	37889
VTP35642	g1	b1	chromosome_6	3061771	3098562	36792
VTP35643	g1	b1	chromosome_6	7659913	7691796	31884
VTP35644	b1	g1	chromosome_13	1373091	1410985	37895
VTP35645	b1	g1	chromosome_1	6074262	6119500	45239
VTP35647	g1	b1	chromosome_6	5383279	5417999	34721
VTP35648	g1	b1	chromosome_9	6966380	7006151	39772
VTP35650	g1	b1	chromosome_14	919735	953332	33598
VTP35651	g1	b1	chromosome_16	934174	973520	39347
VTP35652	b1	g1	chromosome_17	4772748	4793999	21252
VTP35653	b1	g1	chromosome_9	1237520	1269627	32108
VTP35654	g1	b1	chromosome_6	7272482	7307626	35145
VTP35655	g1	b1	chromosome_9	7642503	7678676	36174
VTP35656	g1	b1	chromosome_5	407667	442153	34487
VTP35657	g1	b1	chromosome_7	2780770	2815946	35177
VTP35659	g1	b1	chromosome_8	342058	377092	35035
VTP35660	g1	b1	chromosome_10	3981209	4015567	34359
VTP35661	g1	b1	chromosome_1	2381069	2419859	38791
VTP35662	b1	g1	chromosome_5	205323	243704	38382
VTP35663	b1	g1	chromosome_13	157631	193611	35981
VTP35665	b1	g1	chromosome_14	4097280	4131827	34548
VTP35666	b1	g1	chromosome_1	7803828	7844153	40326
VTP35668	b1	g1	chromosome_8	1854248	1884389	30142
VTP35669	g1	b1	chromosome_1	7819135	7861643	42509
VTP35671	b1	g1	chromosome_6	1247723	1282334	34612
VTP35674	b1	g1	chromosome_7	1192260	1227690	35431
VTP35675	g1	b1	chromosome_7	1187226	1222784	35559
VTP35677	g1	b1	chromosome_8	731760	769245	37486
VTP35678	b1	g1	chromosome_9	7630450	7658728	28279
VTP35679	b1	g1	chromosome_12	9093501	9129322	35822
VTP35681	g1	b1	chromosome_2	7867568	7903816	36249
VTP35682	g1	b1	chromosome_10	2327163	2353871	26709
VTP35683	g1	b1	chromosome_10	3935319	3968538	33220
VTP35684	b1	g1	chromosome_2	3768768	3812708	43941
VTP35685	g1	b1	chromosome_13	2565114	2597648	32535
VTP35686	g1	b1	chromosome_1	5280014	5320038	40025
VTP35687	b1	g1	chromosome_3	4465652	4496197	30546
VTP35688	g1	b1	chromosome_4	2090490	2124730	34241
VTP35689	g1	b1	chromosome_2	4092512	4135714	43203
VTP35690	b1	g1	chromosome_8	679182	715274	36093
VTP35691	b1	g1	chromosome_16	2145460	2179795	34336
VTP35692	b1	g1	chromosome_9	4971836	5003883	32048
VTP35693	g1	b1	chromosome_9	258888	292230	33343
VTP35695	g1	b1	chromosome_3	5454111	5490798	36688
VTP35696	g1	b1	chromosome_10	1389196	1423221	34026
VTP35697	b1	g1	chromosome_6	6274990	6304928	29939
VTP35698	g1	b1	chromosome_13	2565414	2597676	32263
VTP35699	b1	g1	chromosome_2	7352787	7388185	35399
VTP35700	g1	b1	chromosome_14	650022	678411	28390
VTP35701	b1	g1	chromosome_13	3280352	3303166	22815
VTP35702	b1	g1	chromosome_14	4148943	4152153	3211
VTP35703	b1	g1	chromosome_17	3439277	3474536	35260
VTP35704	g1	b1	chromosome_12	4016044	4051392	35349
VTP35705	b1	g1	chromosome_3	7908463	7937766	29304
VTP35706	b1	g1	chromosome_11	1188013	1226277	38265
VTP35707	g1	b1	chromosome_3	4350961	4383522	32562
VTP35708	b1	g1	chromosome_14	3429385	3462655	33271
VTP35709	b1	g1	chromosome_1	2966123	3003893	37771
VTP35711	g1	b1	chromosome_5	645127	678786	33660
VTP35712	b1	g1	chromosome_5	2433102	2458005	24904
VTP35715	g1	b1	chromosome_6	4179225	4215721	36497
VTP35720	b1	g1	chromosome_9	7899849	7937784	37936
VTP35721	b1	g1	chromosome_2	289935	322106	32172
VTP35722	b1	g1	chromosome_10	595431	631465	36035
VTP35724	g1	b1	chromosome_3	7977202	8010418	33217
VTP35728	g1	b1	chromosome_17	1704317	1745752	41436
VTP35730	b1	g1	chromosome_2	3404124	3441520	37397
VTP35736	b1	g1	chromosome_11	2273533	2372408	98876
VTP35738	g1	b1	chromosome_4	426	44226	43801
VTP35741	g1	b1	chromosome_13	3586363	3621240	34878
VTP35742	g1	b1	chromosome_1	4648150	4685394	37245
VTP35743	g1	b1	chromosome_7	5037066	5071653	34588
VTP35747	b1	g1	chromosome_11	2371987	2377946	5960
VTP35748	g1	b1	chromosome_6	5770626	5809097	38472
VTP35754	b1	g1	chromosome_12	3155516	3186865	31350
VTP35756	b1	g1	chromosome_3	4347037	4373718	26682
VTP35757	g1	b1	chromosome_7	952800	984332	31533
VTP35758	g1	b1	chromosome_17	7047648	7081020	33373
VTP35760	b1	g1	chromosome_13	1656514	1693795	37282
VTP35767	b1	g1	chromosome_17	1511366	1547686	36321
VTP35770	b1	g1	chromosome_9	2741305	2773269	31965
VTP35771	b1	g1	chromosome_2	5260262	5292834	32573
VTP35774	b1	g1	chromosome_12	3896105	3926499	30395
VTP35775	b1	g1	chromosome_1	6162179	6196008	33830
VTP35780	g1	b1	chromosome_2	2528559	2564193	35635
VTP35781	g1	b1	chromosome_9	1703694	1738353	34660
VTP35783	b1	g1	chromosome_9	2769315	2807253	37939
VTP35787	b1	g1	chromosome_6	2770991	2802349	31359
VTP35788	b1	g1	chromosome_1	7613752	7647144	33393
VTP35789	g1	b1	chromosome_10	723824	761139	37316
VTP35790	b1	g1	chromosome_10	2908607	2941047	32441
VTP35791	g1	b1	chromosome_16	47752	82751	35000
VTP35792	b1	g1	chromosome_10	494162	532385	38224
VTP35793	g1	b1	chromosome_2	8306137	8323538	17402
VTP35794	g1	b1	chromosome_2	7681192	7719175	37984
VTP35797	g1	b1	chromosome_12	8640066	8680333	40268
VTP35799	g1	b1	chromosome_16	2379818	2415607	35790
VTP35802	g1	b1	chromosome_12	1003758	1039666	35909
VTP35805	g1	b1	chromosome_16	5274878	5307031	32154
VTP35806	b1	g1	chromosome_10	2529476	2563847	34372
VTP35807	g1	b1	chromosome_11	3740867	3779332	38466
VTP35808	b1	g1	chromosome_8	3570601	3605200	34600
VTP35822	g1	b1	chromosome_3	24979	60969	35991
VTP35833	b1	g1	chromosome_17	1582692	1625489	42798
VTP35837	g1	b1	chromosome_5	1188567	1221851	33285
VTP35839	b1	g1	chromosome_7	3977173	4015556	38384
VTP35849	b1	g1	chromosome_9	1955481	1991952	36472
VTP35852	g1	b1	chromosome_5	1332505	1364574	32070
VTP35853	g1	b1	chromosome_12	7897600	7933046	35447
VTP35866	g1	b1	chromosome_3	2431881	2463375	31495
VTP35868	g1	b1	chromosome_12	5833841	5872459	38619
VTP35870	g1	b1	chromosome_7	1405313	1444823	39511
VTP35871	b1	g1	chromosome_6	4968706	5003779	35074
VTP35872	b1	g1	chromosome_12	6474245	6511543	37299
VTP35885	b1	g1	chromosome_16	7460482	7496814	36333
VTP35888	g1	b1	chromosome_16	2963789	2999084	35296
VTP35891	b1	g1	chromosome_2	8067698	8150724	83027
VTP35897	g1	b1	chromosome_11	1568304	1611785	43482
VTP35902	g1	b1	chromosome_9	5207005	5235912	28908
VTP35911	g1	b1	chromosome_4	2455376	2488392	33017
VTP35926	b1	g1	chromosome_17	5453660	5487246	33587
VTP35927	g1	b1	chromosome_7	4642403	4672968	30566
VTP35931	b1	g1	chromosome_4	2947515	2978959	31445
VTP35932	g1	b1	chromosome_6	4360688	4409859	49172
VTP35933	b1	g1	chromosome_8	3083058	3118093	35036
VTP35949	b1	g1	chromosome_17	1852861	1892089	39229
VTP35963	b1	g1	chromosome_13	3578137	3609423	31287
VTP35964	g1	b1	chromosome_16	1896225	1928541	32317
VTP35967	g1	b1	chromosome_16	2113423	2150643	37221
VTP35970	b1	g1	chromosome_17	3364173	3401002	36830
VTP35978	g1	b1	chromosome_3	5179877	5223691	43815
VTP35983	b1	g1	chromosome_8	13944	44844	30901
VTP35984	g1	b1	chromosome_12	9068179	9102062	33884
VTP35985	b1	g1	chromosome_16	7126498	7165616	39119
VTP35989	b1	g1	chromosome_5	2691304	2727445	36142
VTP35998	g1	b1	chromosome_17	3237653	3265946	28294
VTP36002	g1	b1	chromosome_1	7583899	7611410	27512
VTP36012	b1	g1	chromosome_11	927147	966034	38888
VTP36014	g1	b1	chromosome_1	1360149	1397057	36909
VTP36018	b1	g1	chromosome_3	8440423	8478068	37646
VTP36022	g1	b1	chromosome_7	3501716	3535536	33821
VTP36027	b1	g1	chromosome_7	1518034	1558618	40585
VTP36030	b1	g1	chromosome_13	3944073	3972201	28129
VTP36031	b1	g1	chromosome_7	1226134	1255592	29459
VTP36033	g1	b1	chromosome_12	7504982	7540470	35489
VTP36059	b1	g1	chromosome_1	7907811	7939206	31396
VTP36069	b1	g1	scaffold_24	8406	41913	33508
VTP36076	b1	g1	chromosome_1	2780648	2814211	33564
VTP36077	b1	g1	chromosome_1	3033047	3075782	42736
VTP36079	g1	b1	chromosome_6	2146981	2181744	34764
VTP36083	b1	g1	chromosome_3	5508812	5545791	36980
VTP36086	b1	g1	chromosome_12	5492034	5524937	32904
VTP36087	g1	b1	chromosome_14	4143122	4148291	5170
VTP36093	b1	g1	chromosome_12	1254460	1293875	39416
VTP36099	b2	g2	chromosome_9	5740570	5775939	35370
VTP36100	b2	g2	chromosome_11	2141192	2171997	30806
VTP36102	b2	g2	chromosome_12	9602421	9638218	35798
VTP36104	g2	b2	chromosome_8	4015222	4067173	51952
VTP36105	g2	b2	chromosome_13	2787625	2825398	37774
VTP36106	b2	g2	chromosome_1	2094382	2126786	32405
VTP36107	g2	b2	chromosome_6	952218	983006	30789
VTP36109	b2	g2	chromosome_2	4135897	4169926	34030
VTP36110	g2	b2	chromosome_2	4428711	4463513	34803
VTP36111	g2	b2	chromosome_4	2734734	2778148	43415
VTP36112	b2	g2	chromosome_17	1651817	1687377	35561
VTP36113	g2	b2	chromosome_11	2152315	2187845	35531
VTP36115	g2	b2	chromosome_17	3685912	3707154	21243
VTP36116	b2	g2	chromosome_6	5549060	5582583	33524
VTP36117	b2	g2	chromosome_1	2245857	2279932	34076
VTP36121	g2	b2	chromosome_9	3547705	3583651	35947
VTP36122	b2	g2	chromosome_1	6163286	6201319	38034
VTP36125	b2	g2	chromosome_13	3737568	3781720	44153
VTP36126	g2	b2	scaffold_23	16734	43088	26355
VTP36127	b2	g2	chromosome_16	1256118	1291970	35853
VTP36130	b2	g2	chromosome_4	325946	357094	31149
VTP36131	g2	b2	chromosome_10	3637693	3668449	30757
VTP36132	g2	b2	chromosome_9	5845534	5880706	35173
VTP36133	g2	b2	chromosome_12	2272616	2308639	36024
VTP36136	g2	b2	chromosome_7	1194218	1230598	36381
VTP36138	b2	g2	chromosome_11	3423582	3453950	30369
VTP36139	g2	b2	chromosome_13	1709700	1749211	39512
VTP36141	g2	b2	chromosome_2	8782635	8816560	33926
VTP36142	g2	b2	chromosome_6	8151386	8195967	44582
VTP36143	b2	g2	chromosome_6	283539	323919	40381
VTP36146	b2	g2	chromosome_9	3885815	3920015	34201
VTP36148	b2	g2	chromosome_10	3809282	3849687	40406
VTP36150	b2	g2	chromosome_9	7937272	7955525	18254
VTP36152	g2	b2	chromosome_1	2589474	2624346	34873
VTP36153	g2	b2	chromosome_8	1617036	1651473	34438
VTP36154	g2	b2	chromosome_17	6155696	6188536	32841
VTP36155	b2	g2	chromosome_3	5003372	5032477	29106
VTP36156	b2	g2	chromosome_16	1381849	1415022	33174
VTP36161	b2	g2	chromosome_1	7309413	7343875	34463
VTP36162	g2	b2	chromosome_17	3078286	3115454	37169
VTP36164	g2	b2	chromosome_8	4519814	4553415	33602
VTP36167	g2	b2	chromosome_12	9243515	9280113	36599
VTP36169	g2	b2	chromosome_11	3026722	3057732	31011
VTP36170	b2	g2	chromosome_10	31699	75069	43371
VTP36171	b2	g2	chromosome_4	1404079	1434568	30490
VTP36172	g2	b2	chromosome_5	1328142	1355225	27084
VTP36174	g2	b2	chromosome_7	4716177	4754002	37826
VTP36175	b2	g2	chromosome_12	4430419	4469254	38836
VTP36177	b2	g2	chromosome_3	6016051	6052795	36745
VTP36178	b2	g2	chromosome_2	2075181	2109286	34106
VTP36181	b2	g2	chromosome_9	6758349	6800005	41657
VTP36182	b2	g2	chromosome_9	445795	481788	35994
VTP36183	g2	b2	chromosome_10	3422777	3461972	39196
VTP36184	g2	b2	chromosome_2	4110732	4142985	32254
VTP36186	g2	b2	chromosome_16	4182852	4221554	38703
VTP36187	b2	g2	chromosome_5	214014	253412	39399
VTP36188	b2	g2	chromosome_11	2446583	2481253	34671
VTP36189	g2	b2	chromosome_4	2910503	2946260	35758
VTP36191	g2	b2	chromosome_9	1792989	1830414	37426
VTP36192	g2	b2	chromosome_17	4966918	5008832	41915
VTP36194	g2	b2	chromosome_6	4229465	4263315	33851
VTP36195	b2	g2	chromosome_5	1773361	1810005	36645
VTP36196	g2	b2	chromosome_16	101570	138486	36917
VTP36198	b2	g2	chromosome_2	5328194	5367229	39036
VTP36201	g2	b2	chromosome_10	3396095	3426724	30630
VTP36204	g2	b2	chromosome_8	4199319	4231310	31992
VTP36206	g2	b2	chromosome_14	3164620	3201334	36715
VTP36213	b2	g2	chromosome_10	4375174	4414744	39571
VTP36214	b2	g2	chromosome_1	3891600	3930600	39001
VTP36215	b2	g2	chromosome_1	7607747	7635375	27629
VTP36216	b2	g2	chromosome_3	1336133	1370400	34268
VTP36219	b2	g2	chromosome_3	4712731	4740930	28200
VTP36220	g2	b2	chromosome_8	1539502	1616201	76700
VTP36221	g2	b2	chromosome_3	6013161	6045377	32217
VTP36222	b2	g2	chromosome_2	106845	144002	37158
VTP36224	g2	b2	chromosome_1	7438933	7465387	26455
VTP36225	g2	b2	chromosome_7	3479036	3518528	39493
VTP36226	g2	b2	chromosome_2	2719565	2750424	30860
VTP36227	b2	g2	chromosome_17	2189046	2232517	43472
VTP36228	b2	g2	chromosome_13	5175345	5203067	27723
VTP36229	b2	g2	chromosome_4	788927	811211	22285
VTP36232	g2	b2	chromosome_12	1301637	1339361	37725
VTP36236	g2	b2	chromosome_4	2925757	2962462	36706
VTP36237	b2	g2	chromosome_10	6249242	6283958	34717
VTP36238	g2	b2	chromosome_1	913009	954256	41248
VTP36239	g2	b2	chromosome_4	1903693	1941794	38102
VTP36241	g2	b2	chromosome_6	4454654	4786564	331911
VTP36244	b2	g2	chromosome_16	6726321	6761989	35669
VTP36245	b2	g2	chromosome_11	3173588	3199357	25770
VTP36247	b2	g2	chromosome_1	5563247	5596504	33258
VTP36248	b2	g2	chromosome_9	6931494	6966411	34918
VTP36249	b2	g2	chromosome_2	6252202	6291464	39263
VTP36250	g2	b2	chromosome_12	5271009	5303540	32532
VTP36253	b2	g2	chromosome_3	8819187	8856010	36824
VTP36254	b2	g2	chromosome_10	853534	891441	37908
VTP36255	g2	b2	chromosome_16	4700587	4743959	43373
VTP36256	b2	g2	chromosome_4	3775051	3807577	32527
VTP36258	b2	g2	chromosome_10	6178810	6209283	30474
VTP36259	b2	g2	chromosome_12	1814496	1841169	26674
VTP36260	g2	b2	chromosome_10	6551727	6576019	24293
VTP36261	g2	b2	chromosome_6	1240396	1281854	41459
VTP36262	b2	g2	chromosome_16	681551	714295	32745
VTP36264	b2	g2	chromosome_8	4455764	4497212	41449
VTP36265	g2	b2	chromosome_2	5880439	5922727	42289
VTP36266	b2	g2	chromosome_9	542603	585398	42796
VTP36268	b2	g2	chromosome_14	1742350	1769930	27581
VTP36269	b2	g2	chromosome_6	2095817	2130663	34847
VTP36270	b2	g2	chromosome_3	5355425	5389341	33917
VTP36271	g2	b2	chromosome_12	6200526	6238708	38183
VTP36274	g2	b2	chromosome_11	1829642	1862877	33236
VTP36275	g2	b2	chromosome_11	968779	1008734	39956
VTP36276	b2	g2	chromosome_9	2579633	2605561	25929
VTP36278	g2	b2	chromosome_2	4063800	4098312	34513
VTP36279	b2	g2	chromosome_17	5569809	5604578	34770
VTP36280	b2	g2	chromosome_8	4816483	4852210	35728
VTP36282	b2	g2	chromosome_3	2340664	2376909	36246
VTP36284	b2	g2	chromosome_1	824647	862125	37479
VTP36285	b2	g2	chromosome_17	1206347	1243643	37297
VTP36286	b2	g2	chromosome_12	4046315	4082994	36680
VTP36287	b2	g2	chromosome_12	1516112	1557831	41720
VTP36293	b2	g2	chromosome_12	9141202	9170760	29559
VTP36295	g2	b2	chromosome_4	1529448	1565633	36186
VTP36296	g2	b2	chromosome_3	559253	594562	35310
VTP36299	g2	b2	chromosome_6	858863	888845	29983
VTP36302	g2	b2	chromosome_8	2402757	2436889	34133
VTP36305	b2	g2	chromosome_10	5865230	5905275	40046
VTP36306	g2	b2	chromosome_8	1480997	1522401	41405
VTP36307	b2	g2	chromosome_8	949186	988960	39775
VTP36308	g2	b2	chromosome_7	5212706	5250206	37501
VTP36312	b2	g2	chromosome_9	5358119	5401584	43466
VTP36315	g2	b2	chromosome_14	1071019	1108612	37594
VTP36316	g2	b2	chromosome_6	1528718	1570517	41800
VTP36317	b2	g2	chromosome_6	3791435	3828369	36935
VTP36318	g2	b2	chromosome_2	8168821	8200011	31191
VTP36320	b2	g2	chromosome_2	6726245	6756202	29958
VTP36324	b2	g2	chromosome_9	400141	439381	39241
VTP36328	g2	b2	chromosome_4	1884157	1922354	38198
VTP36331	b2	g2	chromosome_14	472029	515974	43946
VTP36333	b2	g2	chromosome_1	5705333	5744056	38724
VTP36336	b2	g2	chromosome_13	1497267	2963864	1466598
VTP36338	b2	g2	chromosome_1	4466403	4501556	35154
VTP36340	b2	g2	chromosome_17	5634669	5677282	42614
VTP36345	g2	b2	chromosome_9	2663085	2701211	38127
VTP36346	g2	b2	chromosome_6	2504114	2542962	38849
VTP36350	b2	g2	chromosome_12	6875062	6905455	30394
VTP36351	b2	g2	chromosome_12	2524710	2560978	36269
VTP36353	b2	g2	chromosome_16	5766918	5804102	37185
VTP36357	g2	b2	chromosome_2	7617731	7650798	33068
VTP36358	b2	g2	chromosome_6	7130082	7159870	29789
VTP36359	g2	b2	chromosome_6	3843169	3876545	33377
VTP36363	g2	b2	chromosome_15	1011333	1012876	1544
VTP36364	g2	b2	chromosome_8	2322715	2360137	37423
VTP36365	b2	g2	chromosome_12	5623544	5665093	41550
VTP36367	g2	b2	chromosome_10	1591107	1626167	35061
VTP36369	b2	g2	chromosome_16	2460997	2498850	37854
VTP36372	b2	g2	chromosome_2	5864657	5909420	44764
VTP36373	b2	g2	chromosome_6	5140229	5173280	33052
VTP36376	g2	b2	chromosome_2	8012095	8036242	24148
VTP36380	g2	b2	chromosome_13	393828	430881	37054
VTP36381	g2	b2	chromosome_14	941753	980876	39124
VTP36390	g2	b2	chromosome_10	5447577	5484241	36665
VTP36391	b2	g2	chromosome_2	2494755	2527368	32614
VTP36395	b2	g2	chromosome_14	4145389	4152702	7314
VTP36396	b2	g2	chromosome_3	7670156	7711170	41015
VTP36397	g2	b2	chromosome_6	6563675	6625275	61601
VTP36399	g2	b2	chromosome_6	2570213	2603784	33572
VTP36402	g2	b2	chromosome_9	1695379	1724554	29176
VTP36405	b2	g2	chromosome_7	2150736	2184548	33813
VTP36407	b2	g2	chromosome_9	7217061	7242520	25460
VTP36411	b2	g2	chromosome_16	6166672	6202030	35359
VTP36412	b2	g2	chromosome_12	457773	497417	39645
VTP36413	b2	g2	chromosome_12	8200231	8232269	32039
VTP36416	g2	b2	chromosome_11	2037711	2051914	14204
VTP36418	b2	g2	chromosome_12	2368378	2407396	39019
VTP36420	b2	g2	chromosome_10	4212715	4250595	37881
VTP36421	g2	b2	chromosome_13	2660864	2700984	40121
VTP36423	g2	b2	chromosome_14	2100535	2133173	32639
VTP36424	g2	b2	chromosome_2	8931770	8976954	45185
VTP36427	b2	g2	chromosome_14	3053382	3087947	34566
VTP36430	g2	b2	chromosome_1	6697747	6732258	34512
VTP36433	b2	g2	chromosome_12	7846539	7879871	33333
VTP36434	g2	b2	chromosome_14	1067577	1104600	37024
VTP36436	b2	g2	chromosome_17	4957252	4992886	35635
VTP36439	g2	b2	chromosome_16	1658460	1691848	33389
VTP36441	b2	g2	chromosome_3	8871551	8904103	32553
VTP36444	g2	b2	chromosome_9	6751196	6784465	33270
VTP36446	b2	g2	chromosome_3	705355	739128	33774
VTP36449	b2	g2	chromosome_9	2117838	2153754	35917
VTP36450	g2	b2	chromosome_16	3183308	3222163	38856
VTP36451	b2	g2	chromosome_10	1301431	1341304	39874
VTP36454	g2	b2	chromosome_1	5621244	5665498	44255
VTP36456	b2	g2	chromosome_2	4985494	5023169	37676
VTP36457	g2	b2	chromosome_1	1360785	1399250	38466
VTP36459	b2	g2	chromosome_16	4415411	4449773	34363
VTP36461	g2	b2	chromosome_2	6040786	6073524	32739
VTP36465	b2	g2	chromosome_17	3344912	3381545	36634
VTP36466	b2	g2	chromosome_16	1476372	3119990	1643619
VTP36467	b2	g2	chromosome_6	7759795	7795826	36032
VTP36468	b2	g2	chromosome_7	1120092	1156023	35932
VTP36471	b2	g2	chromosome_6	1175241	1209178	33938
VTP36472	g2	b2	chromosome_9	3608228	3639404	31177
VTP36473	b2	g2	chromosome_3	1775469	1808128	32660
VTP36476	g2	b2	chromosome_3	7478316	7515924	37609
VTP36477	g2	b2	chromosome_11	2087591	2126992	39402
VTP36478	b2	g2	chromosome_14	800740	834779	34040
VTP36479	b2	g2	chromosome_10	3959835	3998888	39054
VTP36870	g1	b1	chromosome_3	4049406	4081553	32148
VTP36873	b1	g1	chromosome_3	3676468	3710999	34532
VTP36890	g1	b1	chromosome_6	1078512	1112968	34457
VTP36897	g1	b1	chromosome_12	5299684	5334423	34740
VTP36898	b1	g1	chromosome_1	5686246	5721227	34982
VTP36901	b1	g1	chromosome_2	6335760	6374942	39183
